;Fitness Run 1;Fitness Run 2;Fitness Run 3;Fitness Run 4;Fitness Run 5;Fitness Run 6; ;Values in Rand ( R );Maximum;Minimum;Average;Maximum - Minimum
0;41307.1;664396.3;147111.06;78823.28;62601.54;169047.74;;Optimised Fitness Values;;;;
1;51517.1;672940.11;522754.31;160271.23;98343.99;489649.63;;Starting Fitness Values;;;;
2;97885.17;770563.84;536822.78;290802.62;136244.3;627177.64;;;;;;
3;225068.22;777307.97;537964.12;296290.57;203234.97;631062.76;;Values in Rand ( R );Maximum;Minimum;Average;
4;229251.84;893469;551166.43;319043.08;205722.77;636594.13;;Optimised Fitness Values;1611675.6;734629.75;1180426.18;
5;289303.24;911723.72;637329.17;379591.64;306698.38;641197.85;;Starting Fitness Values;664396.3;41307.1;193881.17;
6;303230.71;930653.75;638796.86;388682.57;307156.19;768833.65;;;;;;
7;321811.54;951088.03;643869.54;390438.7;312976.07;774230.59;;;;;;
8;322153.86;1260442.27;696824.88;393971.1;315106.44;1009320.39;;;;;;
9;342728.33;1268178.66;739397.84;458121.56;535979.13;1012929.8;;;;;;
10;383600.26;1283960.52;;469057.87;536323.7;1030338.06;;;;;;
11;383951.04;1299754.01;;472963.78;538717.86;1034202.94;;;;;;
12;383963.68;1380403.33;;618064.99;543610.35;1092715.8;;;;;;
13;410064.87;1396580.82;;622830.91;650318.43;1096433.12;;;;;;
14;410977.14;1412166.89;;624661.16;657515.15;1108907.92;;;;;;
15;422437.52;1434295.74;;626213.1;698872.23;1115510.19;;;;;;
16;423624.85;1516944.64;;664021.44;702650.27;1118877.68;;;;;;
17;426181.67;1540899.82;;688354.48;720665.65;1121598.08;;;;;;
18;428559.3;1578557.86;;700093.3;734832.88;1192842.32;;;;;;
19;432917;1596722.14;;737292.1;741356.58;1247422.95;;;;;;
20;434218.31;1602883.91;;748865.89;741760.15;1253870.54;;;;;;
21;455162.07;1611675.6;;1082648.53;783427.02;1254054.12;;;;;;
22;489802.08;;;1082709;836735.04;1329273.19;;;;;;
23;490184.03;;;1095681.28;1084256.39;1331603.82;;;;;;
24;734629.75;;;1155058.02;1084636.52;1345764.83;;;;;;
25;;;;1155064.46;1113720.48;;;;;;;
26;;;;;1115514.27;;;;;;;
27;;;;;1166145.3;;;;;;;
28;;;;;1172053.1;;;;;;;
29;;;;;1192137.22;;;;;;;
30;;;;;1209107.49;;;;;;;
31;;;;;1213624.78;;;;;;;
32;;;;;1215050.89;;;;;;;
33;;;;;1217456.12;;;;;;;
34;;;;;1244274.81;;;;;;;
35;;;;;1247591.91;;;;;;;
36;;;;;1256569.14;;;;;;;
37;;;;;1267479.17;;;;;;;
38;;;;;1310428.95;;;;;;;
39;;;;;1383230.05;;;;;;;
40;;;;;1385877.82;;;;;;;
41;;;;;1397213.5;;;;;;;
42;;;;;1478567.24;;;;;;;
43;;;;;1496024.62;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
MAX;734629.75;1611675.6;739397.84;1155064.46;1496024.62;1345764.83;;;;;;
MIN;41307.1;664396.3;147111.06;78823.28;62601.54;169047.74;;;;;;
